pid_label,participant_id,session_start,git_short,git_message,trial_index,trial_label,complexity,duration,epsilon,is_tutorial,age,gender,education,tech_comfort,ai_experience,drone_experience,clash_seconds,clash_pct,elapsed,n_clashes,avg_clash_duration,max_clash_duration,mean_reaction_time,med_reaction_time,n_reactions,n_switches_setup,n_switches_ingame,n_m1,n_m2,n_m3,n_flex_auto,n_human_actions,n_agent_actions,n_setup_actions,setup_used_auto,setup_used_suggest,ingame_switched_watch,n_watch_auto_set,n_watch_suggest_set,n_suggestions_shown,n_suggestions_applied,n_suggestions_cancelled,n_clean_accepted,n_clean_modified,n_clean_bad_applied,n_unavoidable_accepted,n_unavoidable_modified,n_cancelled,suggestion_accept_rate,bad_suggestion_rate,total_channel_overrides,tlx_mean,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,trust_composite,trust_suspicious,trust_wary,trust_confident,trust_reliable,trust_overall,trust_accepted,tam_mean,tam_improved,tam_easy,tam_useful,tam_would_use,mode_manual_suited,mode_suggest_suited,mode_auto_suited,mode_manual_comment,mode_suggest_comment,mode_auto_comment,mode_manual_mean,mode_suggest_mean,mode_auto_mean
P3,DATA_TEST,20260505_081426,4809753,Minor changes to study specifics,1,Flexible-Tutorial,medium,0,0.0,True,27,Man,Master's degree,,,,90.47799999999984,0.0,72.57999999999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,DATA_TEST,20260505_081426,4809753,Minor changes to study specifics,2,Easy-70pct,easy,120,0.3,False,27,Man,Master's degree,,,,34.35000000000032,28.6,120.01666666666114,3,9.85555555555515,17.58333333333234,4.816666666666438,4.683333333333067,3,9,11,3,8,0,0,11,0,8,True,False,True,1,3,3,3,0,2,1,0,0,0,0,0.6666666666666666,0.0,1,6.833333333333333,7,7,6,8,6,7,3.5,3,3,3,3,3,3,3.0,3,3,3,3,,,,,,,,,
P3,DATA_TEST,20260505_081426,4809753,Minor changes to study specifics,3,Medium-70pct,medium,120,0.3,False,27,Man,Master's degree,,,,219.63333333334535,183.0,120.01666666666114,2,13.333333333333055,13.333333333333055,1.4833333333334071,1.4833333333334071,1,12,8,0,8,0,0,8,0,0,False,True,False,0,1,3,3,0,3,0,0,0,0,0,1.0,0.0,0,10.0,10,10,10,10,10,10,3.7916666666666665,4,4,5,5,4,4,4.5,4,4,5,5,,,,,,,,,
P3,DATA_TEST,20260505_081426,4809753,Minor changes to study specifics,4,Hard-70pct,hard,120,0.3,False,27,Man,Master's degree,,,,648.4166666666791,540.3,120.01666666666114,1,,0.0,1.949999999999998,1.949999999999998,1,16,261,1,0,0,260,1,260,16,True,False,False,1,0,0,0,0,0,0,0,0,0,0,,,0,16.166666666666668,15,16,16,17,16,17,3.7916666666666665,6,6,6,7,7,6,5.75,6,6,6,5,,,,,,,,,
